GeneName	RefSeq_Summary
LOC7458952	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase
LOC7458960	ankyrin repeat-containing protein At5g02620	ankyrin repeat-containing protein At5g02620
LOC7458961	26S proteasome regulatory subunit 7	26S proteasome regulatory subunit 7
LOC7458962	protein NRT1/ PTR FAMILY 1.2	protein NRT1/ PTR FAMILY 1.2
LOC7458963	protein NRT1/ PTR FAMILY 1.2	protein NRT1/ PTR FAMILY 1.2
LOC7458964	protein NRT1/ PTR FAMILY 1.2	protein NRT1/ PTR FAMILY 1.2
LOC7458967	uncharacterized LOC7458967	uncharacterized LOC7458967
LOC7458969	L-gulonolactone oxidase 3	L-gulonolactone oxidase 3
LOC7458970	protein EMBRYONIC FLOWER 1	protein EMBRYONIC FLOWER 1
LOC7458971	protein PEROXIN-4	protein PEROXIN-4
LOC7458972	putative CCR4-associated factor 1 homolog 8	putative CCR4-associated factor 1 homolog 8
LOC7458973	uncharacterized LOC7458973	uncharacterized LOC7458973
LOC7458974	eukaryotic translation initiation factor 3 subunit L	eukaryotic translation initiation factor 3 subunit L
LOC7458975	tetraspanin-19	tetraspanin-19
LOC7458976	ethylene-responsive transcription factor ERF016	ethylene-responsive transcription factor ERF016
LOC7458977	sulfite exporter TauE/SafE family protein 3	sulfite exporter TauE/SafE family protein 3
LOC7458978	rhomboid-like protein 11, chloroplastic	rhomboid-like protein 11, chloroplastic
LOC7458979	pentatricopeptide repeat-containing protein At5g25630	pentatricopeptide repeat-containing protein At5g25630
LOC7458980	GTP-binding protein At2g22870	GTP-binding protein At2g22870
LOC7458981	60S ribosomal protein L37-1	60S ribosomal protein L37-1
LOC7458982	helicase and polymerase-containing protein TEBICHI	helicase and polymerase-containing protein TEBICHI
LOC7458983	nitrate regulatory gene2 protein	nitrate regulatory gene2 protein
LOC7458986	putative CCR4-associated factor 1 homolog 8	putative CCR4-associated factor 1 homolog 8
LOC7458987	uncharacterized LOC7458987	uncharacterized LOC7458987
LOC7458988	potassium channel KAT3	potassium channel KAT3
LOC7458989	uncharacterized LOC7458989	uncharacterized LOC7458989
LOC7458990	pentatricopeptide repeat-containing protein At5g48910	pentatricopeptide repeat-containing protein At5g48910
LOC7458991	probable ADP-ribosylation factor GTPase-activating protein AGD14	probable ADP-ribosylation factor GTPase-activating protein AGD14
LOC7458992	uncharacterized LOC7458992	uncharacterized LOC7458992
LOC7458997	mitogen-activated protein kinase kinase 2	mitogen-activated protein kinase kinase 2
LOC7458998	uncharacterized LOC7458998	uncharacterized LOC7458998
LOC7458999	cyclin-A2-2	cyclin-A2-2
LOC7459000	protein TIFY 8	protein TIFY 8
LOC7459001	gibberellin 3-beta-dioxygenase 1	gibberellin 3-beta-dioxygenase 1
LOC7459002	ammonium transporter 3 member 1	ammonium transporter 3 member 1
LOC7459003	probable 2-oxoglutarate-dependent dioxygenase AOP1	probable 2-oxoglutarate-dependent dioxygenase AOP1
LOC7459004	pleiotropic drug resistance protein 1	pleiotropic drug resistance protein 1
LOC7459005	3-hydroxybenzoate 6-hydroxylase	3-hydroxybenzoate 6-hydroxylase
LOC7459006	carbon catabolite repressor protein 4 homolog 6	carbon catabolite repressor protein 4 homolog 6
LOC7459007	3-ketoacyl-CoA synthase 11	3-ketoacyl-CoA synthase 11
LOC7459008	probable histone H2A variant 3	probable histone H2A variant 3
LOC7459009	boron transporter 4	boron transporter 4
LOC7459010	potassium channel AKT1	potassium channel AKT1
LOC7459011	uncharacterized LOC7459011	uncharacterized LOC7459011
LOC7459012	GTP-binding nuclear protein Ran-3	GTP-binding nuclear protein Ran-3
LOC7459013	uncharacterized LOC7459013	uncharacterized LOC7459013
LOC7459014	uncharacterized LOC7459014	uncharacterized LOC7459014
LOC7459016	acyl-protein thioesterase 2	acyl-protein thioesterase 2
LOC7459018	UPF0481 protein At3g47200	UPF0481 protein At3g47200
LOC7459020	transcription factor HY5	transcription factor HY5
LOC7459022	cellulose synthase A catalytic subunit 1 [UDP-forming]	cellulose synthase A catalytic subunit 1 [UDP-forming]
LOC7459023	uncharacterized At2g34160	uncharacterized At2g34160
LOC7459024	adenine nucleotide transporter BT1, chloroplastic/mitochondrial	adenine nucleotide transporter BT1, chloroplastic/mitochondrial
LOC7459026	probable sugar phosphate/phosphate translocator At4g32390	probable sugar phosphate/phosphate translocator At4g32390
LOC7459027	probable carboxylesterase 6	probable carboxylesterase 6
LOC7459028	ethylene-responsive transcription factor SHINE 2	ethylene-responsive transcription factor SHINE 2
LOC7459029	protein TIME FOR COFFEE	protein TIME FOR COFFEE
LOC7459030	sugar transport protein 13	sugar transport protein 13
LOC7459031	chloride channel protein CLC-d	chloride channel protein CLC-d
LOC7459032	long chain acyl-CoA synthetase 6, peroxisomal	long chain acyl-CoA synthetase 6, peroxisomal
LOC7459033	cyclin-T1-4	cyclin-T1-4
LOC7459034	probable membrane-associated kinase regulator 1	probable membrane-associated kinase regulator 1
LOC7459035	ARM REPEAT PROTEIN INTERACTING WITH ABF2	ARM REPEAT PROTEIN INTERACTING WITH ABF2
LOC7459036	putative methyltransferase C9orf114	putative methyltransferase C9orf114
LOC7459037	protein phosphatase 2C 70	protein phosphatase 2C 70
LOC7459039	peroxisomal adenine nucleotide carrier 1	peroxisomal adenine nucleotide carrier 1
LOC7459040	E3 ubiquitin-protein ligase RHF1A	E3 ubiquitin-protein ligase RHF1A
LOC7459041	single-stranded DNA-binding protein WHY1, chloroplastic	single-stranded DNA-binding protein WHY1, chloroplastic
LOC7459042	uncharacterized LOC7459042	uncharacterized LOC7459042
LOC7459044	transcription factor MYB124	transcription factor MYB124
LOC7459045	uncharacterized LOC7459045	uncharacterized LOC7459045
LOC7459046	homeobox-leucine zipper protein ATHB-13	homeobox-leucine zipper protein ATHB-13
LOC7459047	sucrose transport protein SUC3	sucrose transport protein SUC3
LOC7459048	probable serine/threonine-protein kinase PBL3	probable serine/threonine-protein kinase PBL3
LOC7459050	uncharacterized LOC7459050	uncharacterized LOC7459050
LOC7459052	probable methyltransferase PMT2	probable methyltransferase PMT2
LOC7459053	uncharacterized LOC7459053	uncharacterized LOC7459053
LOC7459054	putative potassium transporter 12	putative potassium transporter 12
LOC7459055	spermidine synthase 1	spermidine synthase 1
LOC7459056	RNA-binding protein 25	RNA-binding protein 25
LOC7459057	DNA polymerase lambda	DNA polymerase lambda
LOC7459058	nucleobase-ascorbate transporter 6	nucleobase-ascorbate transporter 6
LOC7459059	uncharacterized LOC7459059	uncharacterized LOC7459059
LOC7459060	protein ALTERED XYLOGLUCAN 4	protein ALTERED XYLOGLUCAN 4
LOC7459061	MLP-like protein 423	MLP-like protein 423
LOC7459063	protein RICE SALT SENSITIVE 3	protein RICE SALT SENSITIVE 3
LOC7459064	uncharacterized LOC7459064	uncharacterized LOC7459064
LOC7459066	uncharacterized LOC7459066	uncharacterized LOC7459066
LOC7459067	uncharacterized LOC7459067	uncharacterized LOC7459067
LOC7459068	uncharacterized LOC7459068	uncharacterized LOC7459068
LOC7459070	TIMELESS-interacting protein	TIMELESS-interacting protein
LOC7459073	phytosulfokine receptor 1	phytosulfokine receptor 1
LOC7459074	protein TOM THREE HOMOLOG 1	protein TOM THREE HOMOLOG 1
LOC7459075	uncharacterized LOC7459075	uncharacterized LOC7459075
LOC7459076	putative pentatricopeptide repeat-containing protein At2g02150	putative pentatricopeptide repeat-containing protein At2g02150
LOC7459077	protein SLOW GREEN 1, chloroplastic	protein SLOW GREEN 1, chloroplastic
LOC7459078	pentatricopeptide repeat-containing protein At5g13770, chloroplastic	pentatricopeptide repeat-containing protein At5g13770, chloroplastic
LOC7459079	uncharacterized LOC7459079	uncharacterized LOC7459079
LOC7459082	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7
LOC7459084	eukaryotic translation initiation factor 3 subunit I	eukaryotic translation initiation factor 3 subunit I
LOC7459085	protein NRT1/ PTR FAMILY 8.3	protein NRT1/ PTR FAMILY 8.3
LOC7459086	protein transport protein SEC13 homolog B	protein transport protein SEC13 homolog B
LOC7459087	glutamate decarboxylase 4	glutamate decarboxylase 4
LOC7459089	protein BASIC PENTACYSTEINE2	protein BASIC PENTACYSTEINE2
LOC7459090	uncharacterized LOC7459090	uncharacterized LOC7459090
LOC7459091	type IV inositol polyphosphate 5-phosphatase 9	type IV inositol polyphosphate 5-phosphatase 9
LOC7459092	anthranilate synthase beta subunit 2, chloroplastic	anthranilate synthase beta subunit 2, chloroplastic
LOC7459093	probable transmembrane ascorbate ferrireductase 3	probable transmembrane ascorbate ferrireductase 3
LOC7459094	zinc finger protein 4	zinc finger protein 4
LOC7459096	G-type lectin S-receptor-like serine/threonine-protein kinase At1g34300	G-type lectin S-receptor-like serine/threonine-protein kinase At1g34300
LOC7459098	caffeoyl-CoA O-methyltransferase	caffeoyl-CoA O-methyltransferase
LOC7459099	probable RNA-dependent RNA polymerase 1	probable RNA-dependent RNA polymerase 1
LOC7459100	aspartate-semialdehyde dehydrogenase	aspartate-semialdehyde dehydrogenase
LOC7459101	sec14 cytosolic factor	sec14 cytosolic factor
LOC7459102	protein IQ-DOMAIN 1	protein IQ-DOMAIN 1
LOC7459104	uncharacterized ycf45	uncharacterized ycf45
LOC7459107	tRNA dimethylallyltransferase 9	tRNA dimethylallyltransferase 9
LOC7459108	protein trichome birefringence-like 31	protein trichome birefringence-like 31
LOC7459109	uncharacterized LOC7459109	uncharacterized LOC7459109
LOC7459110	protein PARTING DANCERS	protein PARTING DANCERS
LOC7459112	coiled-coil domain-containing protein 94 homolog	coiled-coil domain-containing protein 94 homolog
LOC7459113	uncharacterized LOC7459113	uncharacterized LOC7459113
LOC7459115	VQ motif-containing protein 1	VQ motif-containing protein 1
LOC7459116	gibberellin 2-beta-dioxygenase 1	gibberellin 2-beta-dioxygenase 1
LOC7459118	cationic amino acid transporter 8, vacuolar	cationic amino acid transporter 8, vacuolar
LOC7459120	heavy metal-associated isoprenylated plant protein 41	heavy metal-associated isoprenylated plant protein 41
LOC7459121	ubiquitin carboxyl-terminal hydrolase 15	ubiquitin carboxyl-terminal hydrolase 15
LOC7459123	C2 domain-containing protein At1g53590	C2 domain-containing protein At1g53590
LOC7459126	desiccation-related protein PCC13-62	desiccation-related protein PCC13-62
LOC7459127	persulfide dioxygenase ETHE1 homolog, mitochondrial	persulfide dioxygenase ETHE1 homolog, mitochondrial
LOC7459128	solanesyl diphosphate synthase 1	solanesyl diphosphate synthase 1
LOC7459129	mitochondrial inner membrane protease subunit 1	mitochondrial inner membrane protease subunit 1
LOC7459130	glucan endo-1,3-beta-glucosidase	glucan endo-1,3-beta-glucosidase
LOC7459132	SH2 domain-containing protein A	SH2 domain-containing protein A
LOC7459133	probable protein phosphatase 2C 80	probable protein phosphatase 2C 80
LOC7459135	ALA-interacting subunit 5	ALA-interacting subunit 5
LOC7459136	uncharacterized LOC7459136	uncharacterized LOC7459136
LOC7459137	protein SRG1	protein SRG1
LOC7459138	probable xyloglucan galactosyltransferase GT17	probable xyloglucan galactosyltransferase GT17
LOC7459139	protein SRG1	protein SRG1
LOC7459140	protein Jade-1	protein Jade-1
LOC7459142	protein FLX-like 1	protein FLX-like 1
LOC7459143	uncharacterized LOC7459143	uncharacterized LOC7459143
LOC7459144	bidirectional sugar transporter SWEET2	bidirectional sugar transporter SWEET2
LOC7459145	probable disease resistance protein At4g27220	probable disease resistance protein At4g27220
LOC7459150	N-alpha-acetyltransferase MAK3	N-alpha-acetyltransferase MAK3
LOC7459153	probable disease resistance protein At5g63020	probable disease resistance protein At5g63020
LOC7459157	probable disease resistance protein At4g27220	probable disease resistance protein At4g27220
LOC7459160	N-alpha-acetyltransferase MAK3	N-alpha-acetyltransferase MAK3
LOC7459161	reactive Intermediate Deaminase A, chloroplastic	reactive Intermediate Deaminase A, chloroplastic
LOC7459164	serine/threonine-protein kinase WAG1	serine/threonine-protein kinase WAG1
LOC7459165	endoplasmic reticulum oxidoreductin-1	endoplasmic reticulum oxidoreductin-1
LOC7459166	translation initiation factor IF-2, chloroplastic	translation initiation factor IF-2, chloroplastic
LOC7459167	CASP-like protein 2A2	CASP-like protein 2A2
LOC7459169	probable glutathione S-transferase	probable glutathione S-transferase
LOC7459170	probable glutathione S-transferase	probable glutathione S-transferase
LOC7459171	probable glutathione S-transferase	probable glutathione S-transferase
LOC7459174	probable glutathione S-transferase	probable glutathione S-transferase
LOC7459182	two-component response regulator ORR21	two-component response regulator ORR21
LOC7459184	cationic amino acid transporter 4, vacuolar	cationic amino acid transporter 4, vacuolar
LOC7459185	cationic amino acid transporter 2, vacuolar	cationic amino acid transporter 2, vacuolar
LOC7459186	microfibrillar-associated protein 1	microfibrillar-associated protein 1
LOC7459187	cation/calcium exchanger 2	cation/calcium exchanger 2
LOC7459188	uncharacterized LOC7459188	uncharacterized LOC7459188
LOC7459189	cyclic dof factor 3	cyclic dof factor 3
LOC7459190	WUSCHEL-related homeobox 11	WUSCHEL-related homeobox 11
LOC7459191	transcription factor CSA	transcription factor CSA
LOC7459194	dnAJ-like protein slr0093	dnAJ-like protein slr0093
LOC7459196	uncharacterized LOC7459196	uncharacterized LOC7459196
LOC7459197	uncharacterized LOC7459197	uncharacterized LOC7459197
LOC7459199	protein CDI	protein CDI
LOC7459200	uncharacterized LOC7459200	uncharacterized LOC7459200
LOC7459201	putative uncharacterized DDB_G0268364	putative uncharacterized DDB_G0268364
LOC7459202	probable folate-biopterin transporter 7	probable folate-biopterin transporter 7
LOC7459203	septin and tuftelin-interacting protein 1 homolog 1	septin and tuftelin-interacting protein 1 homolog 1
LOC7459204	RNA polymerase sigma factor sigA	RNA polymerase sigma factor sigA
LOC7459205	uncharacterized LOC7459205	uncharacterized LOC7459205
LOC7459206	chromo domain-containing protein LHP1	chromo domain-containing protein LHP1
LOC7459207	uncharacterized LOC7459207	uncharacterized LOC7459207
LOC7459212	ADP-ribosylation factor 1-like 2	ADP-ribosylation factor 1-like 2
LOC7459213	uncharacterized LOC7459213	uncharacterized LOC7459213
LOC7459216	CBS domain-containing protein CBSX6	CBS domain-containing protein CBSX6
LOC7459217	auxin efflux carrier component 5	auxin efflux carrier component 5
LOC7459218	uncharacterized LOC7459218	uncharacterized LOC7459218
LOC7459219	uncharacterized LOC7459219	uncharacterized LOC7459219
LOC7459220	basic leucine zipper and W2 domain-containing protein 2	basic leucine zipper and W2 domain-containing protein 2
LOC7459221	putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase 2	putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase 2
LOC7459224	riboflavin biosynthesis protein PYRR, chloroplastic	riboflavin biosynthesis protein PYRR, chloroplastic
LOC7459225	probable protein phosphatase 2C 33	probable protein phosphatase 2C 33
LOC7459226	serine carboxypeptidase-like 20	serine carboxypeptidase-like 20
LOC7459227	glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2	glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2
LOC7459228	thioredoxin F-type, chloroplastic	thioredoxin F-type, chloroplastic
LOC7459230	putative RNA-binding protein Luc7-like 1	putative RNA-binding protein Luc7-like 1
LOC7459231	calreticulin-3	calreticulin-3
LOC7459232	protein NRT1/ PTR FAMILY 5.1	protein NRT1/ PTR FAMILY 5.1
LOC7459236	expansin-A8	expansin-A8
LOC7459237	probable chalcone--flavonone isomerase 3	probable chalcone--flavonone isomerase 3
LOC7459238	taxane 13-alpha-hydroxylase	taxane 13-alpha-hydroxylase
LOC7459239	uncharacterized LOC7459239	uncharacterized LOC7459239
LOC7459240	U-box domain-containing protein 62	U-box domain-containing protein 62
LOC7459241	probable LRR receptor-like serine/threonine-protein kinase IRK	probable LRR receptor-like serine/threonine-protein kinase IRK
LOC7459242	two-component response regulator ARR17	two-component response regulator ARR17
LOC7459243	DEAD-box ATP-dependent RNA helicase 17	DEAD-box ATP-dependent RNA helicase 17
LOC7459244	probable inactive serine/threonine-protein kinase scy1	probable inactive serine/threonine-protein kinase scy1
